job_url,job_title,location,company,responsibilities,qualifications,about the job
https://www.google.com/about/careers/applications/jobs/results/72482757820719814-ux-design-manager-google-ads,"UX Design Manager, Google Ads","New York, NY, USA",Google,"Influence stakeholders across functions to gain support for design strategies.  
Drive the development of innovative design solutions to user, product, and business problems. 
Drive a holistic design process, design system, or design language across teams or products. 
Deliver improvements in design based on UX testing and stakeholder input and provide guidance and expertise to effectively engage stakeholders on product design to achieve product goals. 
Drive project priorities in alignment with larger project goals, and coordinate allocation of resources within the design project and guide team members to develop individual OKRs. ","Bachelor's degree in Design, Human-Computer Interaction, Computer Science, a related field, or equivalent practical experience. 
8 years of experience in product design or UX. 
3 years of experience leading design projects and managing people or teams.
Include a 
, website, or any other relevant link to your work in your resume (providing a viewable link and/or access instructions). 
Master's degree in Design, Human-Computer Interaction, Computer Science, a related field, or equivalent practical experience. 
5 years of experience working in a complex, cross-functional organization. 
3 years of work experience working with executive leaders.","At Google, we follow a simple but vital premise: ""Focus on the user and all else will follow."" Google’s UX leaders help define and drive the future of Google design. They create and clarify product strategy, conceptualize UX ecosystems in ways that mitigate complexity, and inspire teams to push the boundaries of what’s possible. They possess a clear vision of the future of user experience and have the courage to pursue forward-thinking design.,Google User Experience (UX) is made up of multi-disciplinary teams of UX Designers, Researchers, Writers, Content Strategists, Program Managers, and Engineers: we care deeply about the people who use our products. You are a thoughtful team leader, manager, systems-level design thinker, and visionary - with strong instincts and outstanding intuition informed by user needs and insights. You'll be responsible for guiding the careers of your team members, working closely with each of them to help them realize their full potential.,UX Design Managers are fierce advocates for the people who use our products as well as the members of their teams. They have a practiced eye for effective design, and are committed to creating elegantly simple user experiences from otherwise complex workflows. ,In this role, you’ll take the time to understand not just the execution side of UX, but also the business aspects of the products we build. You’ll collaborate with leaders of other UX, Engineering, and Product Management teams to create innovative experiences across all of Google’s products, leveraging your passion for brand, craft, and design quality.,  ,Google Ads is helping power the open internet with the best technology that connects and creates value for people, publishers, advertisers, and Google. We’re made up of multiple teams, building Google’s Advertising products including search, display, shopping, travel and video advertising, as well as analytics. Our teams create trusted experiences between people and businesses with useful ads. We help grow businesses of all sizes from small businesses, to large brands, to YouTube creators, with effective advertiser tools that deliver measurable results. We also enable Google to engage with customers at scale. ,The US base salary range for this full-time position is $168,000-$252,000 + bonus + equity + benefits. Our salary ranges are determined by role, level, and location. The range displayed on each job posting reflects the minimum and maximum target salaries for the position across all US locations. Within the range, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training. Your recruiter can share more about the specific salary range for your preferred location during the hiring process. ,Please note that the compensation details listed in US role postings reflect the base salary only, and do not include bonus, equity, or benefits. Learn more about ,."
https://www.google.com/about/careers/applications/jobs/results/74150438324052678-technical-solutions-engineer-infrastructure-google-kubernetes-engine-english,"Technical Solutions Engineer, Infrastructure, Google Kubernetes Engine (English)","Warsaw, Poland",Google,"Work with customers on their production GKE/Anthos deployments to resolve issues and achieve product readiness, availability, and scale.
Develop an in-depth understanding of Google Cloud's GKE/Anthos product technology and underlying architectures by troubleshooting, reproducing, and determining the root cause for customer-reported issues, building tools, and faster diagnosis.
Act as consultant and subject matter expert for internal stakeholders in engineering, sales, customer organizations to resolve technical deployment obstacles and improve Google Cloud.
Work as part of a team of engineers/consultants that globally ensure 24-hour customer support. This will include a need to sometimes work non-standard work hours/shifts, and may include weekend work.
Understand customer issues, advocate for their needs with internal teams, including Product and Engineering teams, to find ways to improve the product, and drive production.","Bachelor’s degree in Science, Technology, Engineering, Mathematics, or equivalent practical experience.
4 years of experience coding in a general purpose coding language or in system design, and troubleshooting and advocating for customers' needs, and triaging technical issues.
4 years of experience with two or more of the following: Web Tech, Data/Big Data, Systems Admin, Machine Learning, Networking, Kubernetes, Oracle, SAP.
Ability to communicate in English fluently as this is a customer-facing role that requires interactions in English with local stakeholders.
Experience debugging complex workload issues across large-scale, multi-node environments.
Experience with exploratory kernel debugging and performance analysis of containerized systems.
Experience working with any public cloud (e.g., Google Cloud Platform) services and infrastructure.
Experience in Computer Networking (e.g., TCP/IP, Routing, Load balancing, etc.).
Understanding of basic web technologies (e.g., HTTP, HTML, DNS, TCP, etc.).","As a Technical Solutions Engineer, you will manage customer challenges in addition to providing level two support to our other Support teams. You will be a part of a global team that provides support to help customers seamlessly make the switch to Google Cloud.,Google Cloud accelerates every organization’s ability to digitally transform its business and industry. We deliver enterprise-grade solutions that leverage Google’s cutting-edge technology, and tools that help developers build more sustainably. Customers in more than 200 countries and territories turn to Google Cloud as their trusted partner to enable growth and solve their most critical business problems."
https://www.google.com/about/careers/applications/jobs/results/142343026188919494-senior-research-scientist-google-research,"Senior Research Scientist, Google Research","Mountain View, CA, USA",Google,"Author research papers to share and generate impact of research results across function and in the research community. 
Help in growing research business by sharing research trends and best practices within the community. 
Drive project work by defining the data structure, framework, design, and evaluation metrics for research solution development and implementation. Identify timelines and obtain resources needed. 
Identify new and upcoming research areas by interacting with potential external and internal collaborators. Help in developing long-term research strategy and plans to expand the impact of Google research. 
Identify defined problems/gaps in existing technology and engage stakeholders and leaders to address them.","PhD degree in Computer Science, a related field, or equivalent practical experience. 
2 years of experience leading a research agenda. 
One or more scientific publication submission(s) for conferences, journals, or public repositories.
2 years of coding experience. 
1 year of experience leading research efforts and influencing other researchers.","As an organization, Google maintains a portfolio of research projects driven by fundamental research, new product innovation, product contribution and infrastructure goals, while providing individuals and teams the freedom to emphasize specific types of work. As a Research Scientist, you'll setup large-scale tests and deploy promising ideas quickly and broadly, managing deadlines and deliverables while applying the latest theories to develop new and improved products, processes, or technologies. From creating experiments and prototyping implementations to designing new architectures, our research scientists work on real-world problems that span the breadth of computer science, such as machine (and deep) learning, data mining, natural language processing, hardware and software performance analysis, improving compilers for mobile platforms, as well as core search and much more.,As a Research Scientist, you'll also actively contribute to the wider research community by sharing and publishing your findings, with ideas inspired by internal projects as well as from collaborations with research programs at partner universities and technical institutes all over the world.,Google Research is building the next generation of intelligent systems for all Google products. To achieve this, we’re working on projects that utilize the latest computer science techniques developed by skilled software developers and research scientists. Google Research teams collaborate closely with other teams across Google, maintaining the flexibility and versatility required to adapt new projects and foci that meet the demands of the world's fast-paced business needs.,The US base salary range for this full-time position is $161,000-$239,000 + bonus + equity + benefits. Our salary ranges are determined by role, level, and location. The range displayed on each job posting reflects the minimum and maximum target for new hire salaries for the position across all US locations. Within the range, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training. Your recruiter can share more about the specific salary range for your preferred location during the hiring process. ,Please note that the compensation details listed in US role postings reflect the base salary only, and do not include bonus, equity, or benefits. Learn more about ,."
https://www.google.com/about/careers/applications/jobs/results/141219350672483014-supplier-development-engineering-manager-nudd,"Supplier Development Engineering Manager, NUDD","Mountain View, CA, USA",Google,"Lead a team of engineers in a fast-paced and fluid environment. Collaborate proactively with cross-functional teams, including Architecture, Materials Science, Reliability, Product Operations, and ID/CMF.
Establish and align on key specifications, validate process capability (Cp/Cpk), and drive process development in partnership with cross-functional teams and suppliers to fully validate new technologies.
Establish outgoing/incoming quality control processes for materials/processes/design, define measurement systems, ensure correlation for data collection/analysis.
Work with Reliability Engineering to develop reliability test plans for manufacturing processes that meet critical design validation and user expectations.
Identify and highlight manufacturability issues during architecture builds to ensure product quality during ramp.","Bachelor's degree in Electrical, Process, or Manufacturing Engineering, or equivalent practical experience.
10 years of experience enabling the transition of consumer electronics products from NPI to mass production scale.
5 years of experience managing a team of Manufacturing Engineers.
Experience with statistical process control (e.g., Cp/CPk), Geometric Dimensioning and Tolerancing (GD&T), Gauge R&R, Design for X (DFX), and fixture design/qualification.
Experience with emerging technology in the consumer electronics industry including materials and automation solutions, all traditional mechanical manufacturing processes, and insight to where trends are heading in 2 to 3 years.
Experience with mechanical manufacturing processes and Materials Engineering, system integration and how they impact the manufacturing process.
Understanding of cosmetic quality standards (e.g., defining and measuring color, specifying and measuring surface finish, creating cosmetic defect catalogs, establishing grading limits).
Expertise in many facets of mechanical manufacturing and executive leadership communication and presence.
Knowledge of common surface finishing operations and mechanical bonding processes.","As a Supplier Development Engineering Manager, you will be responsible for leading a highly technical team of Subject Matter Experts in mechanical materials, tools, and processes. This team works closely with Architecture, Materials Engineering, Early Involvement Engineers, and suppliers to develop exceptional, innovative, and sustainable designs assessing manufacturing technologies and process development feasibility and scalability. You will develop leading edge manufacturing processes, establish process capability, and manage quality and inspection systems to consistently deliver products into Mass Production. You'll drive technical and operational leadership with a cross-functional organization for material, process, fixtures, and equipment.,Google's mission is to organize the world's information and make it universally accessible and useful. Our Devices & Services team combines the best of Google AI, Software, and Hardware to create radically helpful experiences for users. We research, design, and develop new technologies and hardware to make our user's interaction with computing faster, seamless, and more powerful. Whether finding new ways to capture and sense the world around us, advancing form factors, or improving interaction methods, the Devices & Services team is making people's lives better through technology.,The US base salary range for this full-time position is $159,000-$239,000 + bonus + equity + benefits. Our salary ranges are determined by role, level, and location. The range displayed on each job posting reflects the minimum and maximum target salaries for the position across all US locations. Within the range, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training. Your recruiter can share more about the specific salary range for your preferred location during the hiring process.,Please note that the compensation details listed in US role postings reflect the base salary only, and do not include bonus, equity, or benefits. Learn more about ,."
https://www.google.com/about/careers/applications/jobs/results/125615186340913862-api-management-engineer,API Management Engineer,"Bengaluru, Karnataka, India",Google,"Work closely with customers on their API programs and produce required design specifications.
Provide technical leadership, architectural guidance, and help customers go into production with quality technical solutions/implementations with on-premises and multi/hybrid cloud-based Apigee solutions.
Work with geographically distributed Apigee Product/Engineering and Customer Engineering teams to drive innovation and excellence in the field of API Management using Apigee.
Create and deliver best practices recommendations, tutorials, blog articles, sample code, and technical presentations, adapting to different levels of key business and technical stakeholders.
Travel up to 30% of the time depending on the region.","Bachelor's degree in Computer Science, Mathematics, or related technical field, or equivalent practical experience in software engineering.
5 years of experience in architecting and implementing APIs and integration technologies in distributed enterprise environments using a combination of technologies, languages, or standards like REST, SOAP, GraphQL, JSON, OpenAPI, Python, Java, JavaScript, Cassandra, Kubernetes, etc.
Experience with API Gateway/Management with Apigee or other API management solutions.
Experience in implementing API Security and Threat Modeling using SAML Assertion, OAuth 2.0, etc.
Experience with PHP and Drupal scripting/development.
Expertise in private, public, and hybrid cloud design considerations and limitations in the areas of virtualization, containerization, and container orchestration (e.g. Kubernetes), serverless, event-driven architecture, global infrastructure, distributed systems and datastores (e.g. Cassandra), load balancing, networking, and security.
Familiarity with multi/hybrid cloud through Anthos or similar container management platforms.
Ability to facilitate development and communication of solutions to technical and business stakeholders, with effective communication, collaboration, consensus formation, critical thinking, and problem-solving skills.","The Google Cloud Platform team helps customers transform and build what's next for their business — all with technology built in the cloud. Our products are developed for security, reliability and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping our customers — developers, small and large businesses, educational institutions and government agencies — see the benefits of our technology come to life. As part of an entrepreneurial team in this rapidly growing business, you will play a key role in understanding the needs of our customers and help shape the future of businesses of all sizes use technology to connect with customers, employees and partners.,As an API Management Engineer, you will help customers transform and evolve their business through the use of Google’s global network, web-scale data centers, software infrastructure, and the technology built in the cloud. Organizations and developers use Apigee to design, document, secure, deploy, scale, publish, monetize, analyze, and manage their APIs effectively. You will guide customers through product implementation and will serve as the customers’ primary source for expertise on all Apigee products and implementations to achieve customers’ project goals.,Google Cloud accelerates every organization’s ability to digitally transform its business and industry. We deliver enterprise-grade solutions that leverage Google’s cutting-edge technology, and tools that help developers build more sustainably. Customers in more than 200 countries and territories turn to Google Cloud as their trusted partner to enable growth and solve their most critical business problems."
https://www.google.com/about/careers/applications/jobs/results/122737015878755014-lead-cpu-rtl-design-engineer-silicon,"Lead CPU RTL Design Engineer, Silicon","New Taipei, Banqiao District, New Taipei City, Taiwan",Google,"Participate in developing CPU subsystem.
Develop CPU subsystem front-end designs, emphasizing on microarchitecture and RTL design for the next generation CPU.
Propose performance enhancing microarchitecture features, and work with Software, Architect and Performance teams for trade-off studies. Communicate the pros and cons of microarchitecture enhancements.
Deliver designs meeting Power, Performance and Area (PPA) goals with production quality. Be familiar with modern techniques, interpret the techniques into design constructs, and languages in order to provide guidance to and participate in the performance evaluation effort.
Work with the Verification team to ensure production of quality designs, and the physical design and power teams to meet frequency, power, and area goals.","Bachelor's degree in Electrical Engineering, Computer Engineering, Computer Science, or a related field, or equivalent practical experience.
8 years of experience with digital logic design principles, RTL design concepts, and languages such as Verilog or SystemVerilog.
Experience with logic synthesis techniques to optimize RTL code, performance and power as well as low-power design techniques.
Experience with CPU or AI accelerator integration with SoC.
PhD in Electrical Engineering or Computer Science, or a related field.
Experience leading front-end design for modern processor components or AI accelerator. 
Experience with ARM Instruction Set Architecture. 
Experience with SoC design, architect and integration.",
https://www.google.com/about/careers/applications/jobs/results/133464062846476998-program-manager-iii-supply-chain-devices-and-services,"Program Manager III, Supply Chain, Devices and Services","Mountain View, CA, USA",Google,"Determine phasing and metrics associated with program lifecycle that address continuous improvement including Resource Stewardship (i.e., deployment of machine and people resources), including near- and long-term objectives.
Determine and collect data required to govern programs and drive stakeholder decision-making.
Work with IT and central systems development team to enable integration of tools from development engineering, procurement and fulfillment, capacity planning, silicon planning, test, and manufacturing operations from ramp to sustaining to end of life, and inventory and scrap reconciliation and disposition.
Develop capacity planning models for Fab, Assembly, and Test, and support custom silicon programs’ requirements and new products (NPI) through High-Volume Manufacturing (HVM).
Collaborate with Silicon Planning team to execute the production control functions of dispatching, expediting, and tracking. Keep partners in alignment on status and deliverables and proactively diverting escalation to minimize disruptions.","Bachelor's degree or equivalent practical experience.
5 years of experience in program or project management.
Capacity planning experience.
Supply chain management experience.
5 years of experience managing cross-functional or cross-team projects.
Experience working in high-volume manufacturing.
Experience in working closely with a foundry partner.
Knowledge of foundry and OSAT suppliers and ecosystem.","A problem isn’t truly solved until it’s solved for all. That’s why Googlers build products that help create opportunities for everyone, whether down the street or across the globe. As a Program Manager at Google, you’ll lead complex, multi-disciplinary projects from start to finish — working with stakeholders to plan requirements, manage project schedules, identify risks, and communicate clearly with cross-functional partners across the company. Your projects will often span offices, time zones, and hemispheres. It's your job to coordinate the players and keep them up to date on progress and deadlines.,Our goal is to build a Google that looks like the world around us — and we want Googlers to stay and grow when they join us. As part of our efforts to build a Google for everyone, we build diversity, equity, and inclusion into our work and we aim to cultivate a sense of belonging throughout the company.,Google’s Custom Silicon Operations team is responsible for all foundry, OSAT planning and supplier management for Google’s consumer hardware products. The team is responsible for planning, fulfilling, and delivering innovative custom silicon products on schedule, exceeding quality standards, and optimizing cost goals. We drive strategic supply ecosystem initiatives to ensure capacity flexibility, business continuity, and continuous cost improvement.,Google's mission is to organize the world's information and make it universally accessible and useful. Our team combines the best of Google AI, Software, and Hardware to create radically helpful experiences. We research, design, and develop new technologies and hardware to make computing faster, seamless, and more powerful. We aim to make people's lives better through technology.,The US base salary range for this full-time position is $139,000-$207,000 + bonus + equity + benefits. Our salary ranges are determined by role, level, and location. The range displayed on each job posting reflects the minimum and maximum target salaries for the position across all US locations. Within the range, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training. Your recruiter can share more about the specific salary range for your preferred location during the hiring process.,Please note that the compensation details listed in US role postings reflect the base salary only, and do not include bonus, equity, or benefits. Learn more about benefits at Google."
https://www.google.com/about/careers/applications/jobs/results/142743996819481286-broadcast-specialist-network-operations-center-youtube-ott,"Broadcast Specialist, Network Operations Center, YouTube OTT","Los Angeles, CA, USA",Google,"Manage the Network Operations Center (NOC) Operations for acquiring live and linear TV signals for YouTube's products like YouTube TV, Sports, and A La Carte.
Work in close partnership with the NOC Lead to run, improve, and innovate the NOC Operations. 
Manage a vendor engagement in which the vendor employs a team of >50.","Experience running a broadcast operation 24/7 and 365.
Experience reporting metrics and performance to identify areas of opportunity.
Experience coordinating vendors, test and commissioning of systems, and launching new signal chains.
Experience working in a matrixed environment, influencing cross-functional and technical teams, and communicating technical concepts to business stakeholders.
Ability to manage several deadlines and deliver under time constraints.",
https://www.google.com/about/careers/applications/jobs/results/119382181490369222-silicon-operations-demand-planner-npi,Silicon Operations Demand Planner NPI,"Taipei, Taiwan",Google,"Develop and maintain accurate demand forecasts for semiconductor products, incorporating market intelligence, sales data, and customer input.
Utilize statistical forecasting models and data analysis tools to identify trends, seasonality, and other factors impacting demand.
Work closely with sales, marketing, and product management teams to gather input, validate forecasts, and ensure alignment with business objectives.
Collaborate with supply chain and production teams to optimize inventory levels based on demand forecasts, minimizing excess inventory and stockouts.
Track forecast accuracy and identify areas for improvement, continuously refining forecasting models and processes.","Bachelor's degree in Electrical, Process, or Manufacturing Engineering, or equivalent practical experience.
5 years of experience in manfuacturing engineering.
5 years of experience in demand planning, with a focus on semiconductor products.
Master's degree in Supply Chain Management, Business Analytics, or related field.
Experience with advanced forecasting tools and techniques, such as machine learning or artificial intelligence.
Familiarity with semiconductor market dynamics, product life cycles, and demand drivers.
Excellent communication and presentation skills to effectively collaborate with cross-functional team.","Our computational challenges are so big, complex and unique we can't just purchase off-the-shelf hardware, we've got to make it ourselves. Your team designs and builds the hardware, software and networking technologies that power all of Google's services. As a Hardware Engineer, you design and build the systems that are the heart of the world's largest and most powerful computing infrastructure. You develop from the lowest levels of circuit design to large system design and see those systems all the way through to high volume manufacturing. Your work has the potential to shape the machinery that goes into our cutting-edge data centers affecting millions of Google users.,Behind everything our users see online is the architecture built by the Technical Infrastructure team to keep it running. From developing and maintaining our data centers to building the next generation of Google platforms, we make Google's product portfolio possible. We're proud to be our engineers' engineers and love voiding warranties by taking things apart so we can rebuild them. We keep our networks up and running, ensuring our users have the best and fastest experience possible."
https://www.google.com/about/careers/applications/jobs/results/117797477607711430-manager-youtube-creator-success-operations-english-portuguese,"Manager, YouTube Creator Success Operations (English, Portuguese)","São Paulo, State of São Paulo, Brazil",Google,"Lead, coach, and manage a team driving partner satisfaction and engagement through best practices and key metrics across account management, new partner development, and key strategic projects.
Maintain and enhance team structure that aligns with business needs and supports the achievement of key organizational and operational metrics.
Ensure team members acquire, maintain, and develop.
Assess individual team members, provide coaching, deliver performance evaluations, and enable personal and professional development for each team member.
Build relationships with cross-functional teams in Partnerships, Creator Support, Sales, Product Solutions, Marketing, Product, and more.","Bachelor’s degree or equivalent practical experience.
8 years of experience in a project management or a customer-facing role.
Experience in people management. 
Ability to speak and write in English and Portuguese fluently to engage with local stakeholders.
Ability to communicate in English and Portuguese fluently to engage with local stakeholders.
Experience leading projects and supporting customers/partners.
Experience with service/partner operations, project management, change management, or leadership.
Experience with analytics, basic modeling, and formal corporate presentation building.
Ability to develop an idea and influence stakeholders.","The Creator Success Operations (CSO) team embodies a partner-first mindset, whether it’s building custom tools, providing education to get the most from the platform, or helping creators to grow their channel to the next level. YouTube's user base is growing and changing, which presents opportunities and challenges to support users globally. FThe team's goal is to ensure partners have easy access to comprehensive support when and where they need it and to allow partners’ to help build the platform.,As a Manager of the CSO team, you will lead and oversee operations helping to create and maintain a positive team culture. The team will be responsible for providing product and operational support to YouTube’s Media partners, Music Labels, and Creators. You will work with cross-functional teams to align on goals and challenges.,At YouTube, we believe that everyone deserves to have a voice, and that the world is a better place when we listen, share, and build community through our stories. We work together to give everyone the power to share their story, explore what they love, and connect with one another in the process. Working at the intersection of cutting-edge technology and boundless creativity, we move at the speed of culture with a shared goal to show people the world. We explore new ideas, solve real problems, and have fun — and we do it all together."
