keyword,location,page,position,company,jobkey,jobTitle,jobDescription
mechanic,India,1,2,Halliburton,cf10abf2e496af12,Mechanic Technician I,"<div>
 <p>We are looking for the right people — people who want to innovate, achieve, grow and lead. We attract and retain the best talent by investing in our employees and empowering them to develop themselves and their careers. Experience the challenges, rewards and opportunity of working for one of the world’s largest providers of products and services to the global energy industry.</p>
 <br> 
 <p></p> Under general supervision, Maintains, diagnoses and repairs a variety of equipment including; diesel engines, transmissions, drive train components, winches, high pressure pumps, centrifugal pumps, sand conveyor systems, air compressors, micro processor controls, electro-mechanical equipment, hydraulic systems, pneumatic systems, mobile/overhead cranes, wellhead attachments and pressure equipment, gearboxes, PTO's, generators, chemical metering systems, 12/24v electrical systems, equipment cabs and controls, chassis and suspension, rims, tires and wheels, forklifts, A/C systems, and a variety of other energy services equipment. Responsible for ensuring duties are performed in a safe, efficient and effective manner. Perform preventive/predictive maintenance procedures on Halliburton equipment. Performs inspections required by company, and government entities. Perform troubleshooting on electrical, mechanical, hydraulic and pneumatic systems. Installs and/or replaces new or reconditioned repair parts. Test equipment for proper operation. Performs own work and provides assistance to others as directed. Job tasks, correctly performed, impact indirectly on cost containment, efficiency, profitability or operations. Consequences of error are easily measured and can be confined. Skills are typically acquired through possession of a Technical School certificate and 3 years of experience in related fields. Must possess a valid driver's license.
 <p></p>
 <p><b><br> Halliburton is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, disability, genetic information, pregnancy, citizenship, marital status, sex/gender, sexual preference/ orientation, gender identity, age, veteran status, national origin, or any other status protected by law or regulation</b>.</p>
 <p></p>
 <p><b><br> Location</b></p>
 <p> Santa Janabai Road, Mumbai, Maharashtra, 400057, India</p>
 <p></p>
 <p><b><br> Job Details</b></p>
 <p><b> Requisition Number:</b> 179575<br> <b>Experience Level: </b>Experienced Hire<br> <b>Job Family:</b> Support Services<br> <b>Product Service Line: </b>Maintenance PSL<br> <b>Full Time / Part Time: </b>Full Time</p>
 <p><b> Additional Locations for this position:</b></p>
 <p></p>
 <p><b><br> Compensation Information</b><br> Compensation is competitive and commensurate with experience.</p>
</div>"
mechanic,India,1,3,ARIA AERIAL PLATFORMS,5603a34bfe931a97,Hydraulic Mechanic,"Minimum experience of 5 years, ITI Graduate 
<br><b>Candidate should be ready to work Pan India.</b>"
mechanic,India,1,5,Sea and Beyond,c1a870b8dfd51395,Rig Mechanic,"<div>
 <div>
  <div>
   FULL TIME
  </div> 
  <h4 class=""jobSectionHeader""><b>Rig Mechanic</b></h4> 
  <div> 
  </div>
  <ul>
   <li><h4 class=""jobSectionHeader""><b>Your Profile will be kept confidential</b></h4></li> 
   <li>Mumbai</li> 
   <li>Experience : 15 years</li> 
   <li>Job ID : MIS/24/32</li> 
   <li>Salary : As per market standards</li>
  </ul>
 </div>
</div>
<p></p> 
<br>
<p></p>
<div>
 <p>Dear Applicants,</p>
 <p></p>
 <p><br> Greetings!</p>
 <p></p>
 <p><br> We are hiring Rig Mechanic for a leading Shipping Company into Offshore projects.</p>
 <p></p>
 <p><br> Looking for:</p>
 <ul>
  <li> Candidate with Min. 15 years of experience as Rig Mechanic</li>
  <li> Must have at least 5 years of experience on drillships or semi-submersibles</li>
  <li> Must have Relevant certifications like Mechanical Engineering, HVAC, relevant safety certifications</li>
  <li> Strong understanding of mechanical systems and equipment used in drilling operations required</li>
  <li> Strong communication, problem-solving and diagnostic skills required</li>
 </ul>
 <p><br> Warm Regards,<br> Sea and Beyond</p>
</div>
<p></p>"
plumber,India,1,14,Yalavarti Projects,009d9464343fd610,Sr. PLUMBING ENGINEER/PM,"<div>
 <div>
  <div>
   <div>
    Designation
   </div> 
   <div>
    Sr. PLUMBING ENGINEER/PM
   </div> 
  </div>
  <br> 
  <div>
   <div>
    No.of Posts
   </div> 
   <div>
    6
   </div> 
  </div>
  <br> 
  <div>
   <div>
    Job Location
   </div> 
   <div>
    Andhra Pradesh, Karnataka
   </div> 
  </div>
  <br> 
  <div>
   <div>
    Experience
   </div> 
   <div>
    3 years
   </div> 
  </div>
  <br> 
  <div>
   <div>
    Qualification
   </div> 
   <div>
    B.TECH (mandatory), M.TECH
   </div> 
  </div>
  <br> 
  <div>
   <div>
    Skills
   </div> 
   <div>
    MS OFFICE, CAD, MSP
   </div> 
  </div>
  <br> 
  <div>
   <div>
    Description
   </div> 
   <div>
    <ul>
     <li>Should have min Exp – 3yrs as Plumbing Manager.</li> 
     <li>Should have completed &amp; handed over at least 2 projects (1 Residential + 1commercial).</li> 
     <li>Should have strong Knowledge 
      <ul>
       <li>In all MEP Drawings &amp; Works.</li> 
       <li>Analyzing skill on Tender Boq &amp; Worker order.</li> 
       <li>In Planning &amp; Scheduling of project at each stage (IN MSP).</li> 
       <li>In preparing shop drawings to get approvals &amp; getting technical approval of makes by submitting the samples.</li> 
       <li>In preparing/reviewing material Indents &amp; Material Management.</li> 
       <li>In preparing Documents [(MIR,RPI,ECR,DPR,DLR, Check Lists of individual works, JMS, Pre commission &amp; Post commissioning &amp; Handling Over). &amp; method statements, micro work schedules, cash flow statements etc….] &amp; Tracing the same.</li> 
       <li>In preparing the client bills &amp; getting the certification in time.</li> 
       <li>In coordinating with other works in project for timely completion.</li> 
       <li>Good Techno Communication Skills to handle the project Team (Subordinates/Client Team/Vendor/P.M.O Team)</li>
      </ul></li>
    </ul>
   </div>
  </div>
 </div>
</div>"
manufacturing,India,1,14,Accenture,5cd3b03e0589fbe1,Manufacturing Engineering Practitioner,"<p><b>Project Role : </b>Manufacturing Engineering Practitioner<br> <b>Project Role Description : </b>Define processes to fabricate, assemble, inspect and test new products and machines based on production engineering and design principles. Define the supporting tools and fixtures needed for production. Develop procedures, product specifications and define the quality standards and inspection methods. <br> <b>Must have skills : </b>Manufacturing Design &amp; Engineering Solutions<br> <b>Good to have skills : </b>NA<br> Minimum <b>15</b> year(s) of experience is required<br> <b>Educational Qualification : </b>Graduate<br> <br> Project Role: Industry X Core Engineering– Manufacturing Engineering Capability Sr Manager | Engineering Summary: As a Manufacturing Engineering Practitioner, you will be responsible for defining processes to fabricate, assemble, inspect and test new products and machines based on production engineering and design principles. Drive and support the Practice and capability on a dedicated basis for IX Core Engineering Capability Building Experience on Aerospace Engineering, Manufacturing Engineering or Industrial Engineering. Focused on Manufacturing Engineering capability. Roles &amp; Responsibilities: - Define processes to fabricate, assemble, inspect and test new products and machines based on production engineering and design principles. - Develop procedures, product specifications, and define quality standards and inspection methods for manufacturing design and engineering solutions. - Define the supporting tools and fixtures needed for production. - Collaborate with cross-functional teams to ensure the successful implementation of manufacturing design and engineering solutions. - Build Manufacturing Engineering Capability on Aerospace, Industrial, Automotive Engineering. - Focus on Manufacturing Engineering capability. - Make the capability document and customer facing Presentations on Manufacturing Engineering. - Inclination to learn new Technologies like Gen AI and other Automation to build the capability on Product design and Engineering. -Work with Delivery teams to understand the pain points and how it can be resolved through Capabilities. Professional &amp; Technical Skills: - Must Have Skills: 15 years of experience in Manufacturing Design &amp; Engineering Solutions. Capability Development, Delivery experience in Engineering function in aerospace, automotive, Industrial heavy engineering. - Good To Have Skills: Experience in project management and leadership. - Practice building, Delivery experience in experience in Aerospace &amp; Defense, automotive, Industrial, heavy engineering. - Drive Thought Leadership / POVs in Industry X Manufacturing Engineering space. - Understanding of different technologies which have impact on enhancing engineering industries, like: Aerospace Engineering, Manufacturing Engineering, PLM, IoT, ML, Data Analytics etc. - Strong understanding of production engineering and design principles. - Experience in developing procedures, product specifications, and defining quality standards and inspection methods. - Experience in defining the supporting tools and fixtures needed for production. - Excellent collaboration and communication skills. Additional Information: - The candidate should have a minimum of 15 years of experience in Manufacturing Design &amp; Engineering Solutions. - Focus on Capabilities that have a compelling value proposition to the client and are profitable to Accenture. Work with GTM team to articulate Accenture differentiation with the focus on creating 360-degree value to client. - The ideal candidate will possess a strong educational background in engineering or a related field, along with a proven track record of delivering impactful manufacturing design and engineering solutions. - This position is based at our Bengaluru office.</p> 
<br> Graduate"
mechanic,India,1,4,Janapriya,939ffdd1db64c06b,Mechanic,"O Mechanic 10 Yrs ITI / Diploma Mechanic Relevant certification course is desireable 
<br>
<div>
 Janapriya Company hiring professionals and individuals who are competent enough to handle challenging and competitive tasks. We follow strict company policies and deal with the issues ethically. Please send your resume at hrd@janapriya.com.
</div>
<div></div>"
technician,India,1,14,iCRC,2c92542c4837a3c6,Junior CAD Technician,"<div>
 <p>Are you a detail-oriented and talented individual with a passion for Computer-Aided Design (CAD)? Do you enjoy working in a collaborative environment and have a desire to learn and grow in your career? If so, then the role of Junior CAD Technician at WSP iCRC may be the perfect opportunity for you.</p>
 <p> WSP iCRC is a leading consulting firm that specializes in providing innovative and sustainable solutions for the construction and engineering industry. As part of our growing team, the Junior CAD Technician will play a key role in supporting our design and engineering projects. This position offers a unique opportunity to work on a wide range of projects and gain valuable experience in the industry.</p>
 <p> Key Responsibilities:</p>
 <ul> 
  <li>Perform specific tasks assigned by lead designer in a pre-defined timeframe with minimal guidance.</li> 
  <li>Prepare 3D models and produce 2D drawings from reference information given by the lead designer.</li> 
  <li>Prepare Piping Flow Diagrams &amp; Piping and Instrumentation Diagrams from Process markup.</li> 
  <li>Prepare General arrangements, Plot Plans with minimal guidance.</li> 
  <li>Proficient in 2D detailing &amp; Annotations.</li> 
  <li>Checking of 2D drawings and 3D models for clashes and constructability.</li> 
  <li>Review specifications, codes, and vendor documentation.</li> 
  <li>Prepare complete and accurate drawings that adhere to WSP and client standards and codes with guidance.</li> 
  <li>Ability to schedule the work to completion that both satisfies project scope, schedule, and Quality.</li> 
  <li>Maintain accurate and organized drawing files within existing file structures.</li> 
  <li>Excellent knowledge in ASME codes &amp; standards.</li> 
  <li>Keep piping lead designer informed of project status and challenges.</li> 
  <li>Provide support to lead designer in all aspects of project from scratch to completion of the project.</li> 
  <li>Coordinate with all disciplines as &amp; when required.</li> 
  <li>Strong attention to details.</li> 
  <li>Excellent Team Player.</li> 
  <li>A strong foundation in CAD software such as CADWorx, Autoplant/Open Plant Modeller, Autodesk Plant 3D, Autocad </li>
 </ul>
 <p>Educational Qualification:</p>
 <ul> 
  <li>Degree/Diploma in Mechanical Engineering.</li> 
  <li>Minimum 04 years to 05 years of relevant technical experience required.</li> 
  <li>Design experience with clients from USA, Canada will be an advantage.</li> 
  <li>Excellent communication &amp; interpersonal skills required.</li>
 </ul>
 <p></p>
 <p><br> At WSP iCRC, we value our employees and provide a supportive and collaborative work environment. We offer competitive compensation and benefits, as well as opportunities for professional development and growth. If you are a motivated individual with a passion for CAD and a desire to make a meaningful impact in the industry, we encourage you to apply for the Junior CAD Technician position at WSP iCRC.</p>
 <p> To apply for this position, please submit your resume outlining your relevant experience and why you are interested in joining our team. We look forward to hearing from you!</p>
</div>
<p></p>"
construction,India,1,13,Ford Motor Company,1b1c812914102fa5,Data Center Engineer,"<div>
 <p>The IT Facilities Engineer is primarily responsible for </p>
 <ul>
  <li>leading the design and modification of Data Centers Computer Rooms and Telecommunications Facilities for Ford’s global IT facilities </li>
  <li>Configure, code and implement Global monitoring solutions </li>
 </ul>
 <p>This role will suit someone looking for a technical position providing an opportunity to be ‘Hands On’ with IT Facilities and IT infrastructure, support IT customers, communicate with management, end users and other business support organizations (E.g. Ford Land, Plant Protection, Fire Engineering, Purchasing, Product Development, Manufacturing and Vehicle Operations etc.). The role provides an opportunity to truly work as a member of a global, cross-functional, One Ford team. There is scope to develop technical, project management, communications and relationship skills. This is an opportunity to work in a highly demanding environment and manage concurrent tasks that relate to multiple deliverables and projects. Develop detailed understanding of how IT facilities are critical supporting the business activities.</p>
</div> 
<br>
<div>
 <p><b>Position Qualifications: </b></p>
 <ul>
  <li>Bachelors degree in engineering (preferably Electrical or Mechanical background) is required </li>
  <li>Ideal candidate must have good technical knowledge of IT facility infrastructure (cooling, power, and facility construction technologies). Need to extend the knowledge to IT Facilities specific requirements. </li>
  <li>Good interest to work in AutoCAD drawings, Complete 3d floor plans using software such as Sketch Up </li>
  <li>Strong interpersonal and technical writing skills </li>
  <li>Excellent networking and relationship building skills. </li>
  <li>Proven ability to own-working-together with the global IT team </li>
  <li>Passion for functional and technical excellence </li>
  <li>Accountability for ensuring process discipline globally </li>
  <li>Capable of formulating compelling and comprehensive plans that management will use to secure funding for facility improvements </li>
  <li>Demonstrated ability to establish/coordinate agreements with service providers for provisioning/installation of infrastructure and utilities </li>
  <li>Excellent organization skills to support working in a dynamic and fast-paced environment </li>
  <li>Self-motivated and able to perform tasks under pressure </li>
  <li>Consult with other technical experts to determine/decide IT facility directions </li>
  <li>This position requires flexible work hours </li>
  <li>Regular International travel may be required </li>
 </ul>
 <p><b>Nice to Have: </b></p>
 <ul>
  <li>Programming skills, ready to learn new programming languages </li>
  <li>Electrical and Mechanical concepts </li>
  <li>IT Infrastructure </li>
 </ul>
 <p>Required training will be provided for selected candidate to contribute to the role.</p>
</div> 
<br>
<div>
 <p>This role is a hybrid function of IT Facilities Engineer and a software developer who can do programmatic configuration and implementation of Data Center monitoring and visual inspection solutions globally. </p>
 <p><b>This includes but is not limited to: </b></p>
 <ul>
  <li>Leading the design, engineering and specification writing to implement new data centers, computer rooms and telecommunication closets in office buildings and manufacturing facilities </li>
  <li>Working with IT Site Managers and leading design and engineer modifications to data centers, computer rooms and telecommunication closets to accommodate changing capacity requirements with respect to space, power, and cooling. </li>
  <li>Brokering key supplier/partner relationships to communicate Ford requirements. </li>
  <li>Providing technical consultation to Senior Management, Skilled Trades, IT Application Owners and Business Managed Application Owners for IT facility upgrades and major disruption. </li>
  <li>Implement, Modify and Improve the Global IT Facilities monitoring solutions. </li>
  <li>Learn from suppliers and peers about the monitoring tool automations and implement solutions across region. </li>
  <li>Working with Global Facilities Planning and Engineering Teams to establish facility standards and work as a “One Ford” team. </li>
  <li>Understanding industry advancements, standards and regulations and advancing Company standards, guidelines, and practices to industry standards. </li>
  <li>Working across time zones - position requires exceptional work hour flexibility. </li>
  <li>Traveling – Local, National, In-Region and International travel may be required</li>
 </ul>
</div>"
drive,India,1,14,Accenture,79c7fb49253f92b8,Function Delivery Associate,"<p><b>Skill required:</b> Reinsurance - Collections Processing<br> <b>Designation:</b> Function Delivery Associate<br> <b>Qualifications:</b>BCom/MCom/Master of Business Administration <br> <b>Years of Experience:</b>1 to 3 years <br> <b>Language - Ability:</b>English - Intermediate <br> <b>About Accenture</b><br> Accenture is a global professional services company with leading capabilities in digital, cloud and security.Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Technology and Operations services, and Accenture Song— all powered by the world’s largest network of Advanced Technology and Intelligent Operations centers. Our 699,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners and communities.Visit us at www.accenture.com <br> <b>What would you do?</b> We help insurers redefine their customer experience while accelerating their innovation agenda to drive sustainable growth by transforming to an intelligent operating model. Intelligent Insurance Operations combines our advisory, technology, and operations expertise, global scale, and robust ecosystem with our insurance transformation capabilities. It is structured to address the scope and complexity of the ever-changing insurance environment and offers a flexible operating model that can meet the unique needs of each market segment. You will be part of Reinsurance contract setup and doing one or more of the following: •Setup of Reinsurance Contracts in the system • Doing contract fixes • Ensuring accuracy in the process • Liaising with stakeholders for approval • Prepare SOP documentation • Understanding system technicalities • Doing ad-hoc activities<br> <b>What are we looking for?</b> •Collaboration and interpersonal skills •Commitment to quality •Results orientation •Written and verbal communication •Ability to perform under pressure <br> <b>Roles and Responsibilities:</b> •In this role you are required to solve routine problems, largely through precedent and referral to general guidelines • Your expected interactions are within your own team and direct supervisor • You will be provided detailed to moderate level of instruction on daily work tasks and detailed instruction on new assignments • The decisions that you make would impact your own work • You will be an individual contributor as a part of a team, with a predetermined, focused scope of work • Please note that this role may require you to work in rotational shifts</p> 
<br> BCom,MCom,Master of Business Administration"
construction,India,1,14,Larsen & Toubro,eeb936c43e49eb27,Construction manager,"<div>
 <div>
  <div>
   Construction manager
  </div>
  <p>LNT/CM/1055819</p>
  <ul>
    Heavy Civil InfrastructureMumbai
  </ul>
 </div>
 <div>
  <div>
   <div>
    <ul>
     <div>
      <div>
       <div>
         Posted On
       </div>
       <div>
         20 Jun 2024
       </div>
      </div>
     </div>
     <div>
      <div>
       <div>
         Required Experience
       </div>
       <div>
         15 - 20 Years
       </div>
      </div>
     </div>
    </ul>
   </div>
  </div>
 </div>
</div> 
<br>
<div>
 <div>
  <div>
   Skills
  </div>
 </div>
 <div>
  <div>
   <p> Knowledge &amp; Posting Location</p>
   <div>
    <p> CONSTRUCTION </p>
    <p>CONSTRUCTION MANAGEMENT </p>
    <p>PROJECT MANAGEMENT </p>
    <p>CONTRACT MANAGEMENT </p>
    <p>PROJECT CONTROL </p>
   </div>
  </div>
  <div>
   <p>Minimum Qualification</p>
   <div>
    <p> BACHELOR OF TECHNOLOGY (BTECH)</p>
   </div>
  </div>
 </div>
</div> 
<br>
<div>
 <div>
  <div>
   Job Description
  </div>
 </div>
 <div>
  <p> One should have a experiance from planning to completion, ensuring quality, safety, and efficiency. Responsibilities include budgeting, scheduling, and coordinating subcontractors. He interpret blueprints, manage permits, and enforce regulations. Communication with stakeholders, problem-solving, and team leadership are crucial. He must maintain timelines, manage resources effectively, and resolve conflicts to deliver projects on time and within budget.Additionally, construction manager liaise with clients, architects, and engineers to ensure project alignment with expectations and specifications. He should conduct site inspections, address issues promptly, and implement corrective measures when necessary. Risk management, adherence to industry standards, and promoting a culture of safety are paramount. Through effective organization and strategic decision-making, construction manager drive the successful execution of diverse construction projects, fostering collaboration and excellence within their teams</p>
 </div>
</div>"
